Area;Regione;Provincia;2024_CodCom;Comune;Cap;TAGLIA MERCATO
Sud;Puglia;FG;A015;ACCADIA;NonCap;S
Sud;Puglia;BA;A048;ACQUAVIVA DELLE FONTI;NonCap;S
Sud;Puglia;BA;A055;ADELFIA;NonCap;S
Sud;Puglia;BA;A149;ALBEROBELLO;NonCap;S
Sud;Puglia;FG;A150;ALBERONA;NonCap;S
Sud;Puglia;LE;A184;ALESSANO;NonCap;S
Sud;Puglia;LE;A185;ALEZIO;NonCap;S
Sud;Puglia;LE;A208;ALLISTE;NonCap;S
Sud;Puglia;BA;A225;ALTAMURA;NonCap;M
Sud;Puglia;LE;A281;ANDRANO;NonCap;S
Sud;Puglia;BA;A285;ANDRIA;NonCap;L
Sud;Puglia;FG;A320;ANZANO DI PUGLIA;NonCap;S
Sud;Puglia;FG;A339;APRICENA;NonCap;S
Sud;Puglia;LE;A350;ARADEO;NonCap;S
Sud;Puglia;LE;A425;ARNESANO;NonCap;S
Sud;Puglia;FG;A463;ASCOLI SATRIANO;NonCap;S
Sud;Puglia;TA;A514;AVETRANA;NonCap;S
Sud;Puglia;LE;A572;BAGNOLO DEL SALENTO;NonCap;S
Sud;Puglia;BA;A662;BARI;cap;XL
Sud;Puglia;BA;A669;BARLETTA;NonCap;L
Sud;Puglia;FG;A854;BICCARI;NonCap;S
Sud;Puglia;BA;A874;BINETTO;NonCap;S
Sud;Puglia;BA;A883;BISCEGLIE;NonCap;L
Sud;Puglia;BA;A892;BITETTO;NonCap;S
Sud;Puglia;BA;A893;BITONTO;NonCap;L
Sud;Puglia;BA;A894;BITRITTO;NonCap;S
Sud;Puglia;LE;B086;BOTRUGNO;NonCap;S
Sud;Puglia;FG;B104;BOVINO;NonCap;S
Sud;Puglia;BR;B180;BRINDISI;cap;L
Sud;Puglia;FG;B357;CAGNANO VARANO;NonCap;S
Sud;Puglia;LE;B413;CALIMERA;NonCap;S
Sud;Puglia;LE;B506;CAMPI SALENTINA;NonCap;S
Sud;Puglia;FG;B584;CANDELA;NonCap;S
Sud;Puglia;LE;B616;CANNOLE;NonCap;S
Sud;Puglia;BA;B619;CANOSA DI PUGLIA;NonCap;M
Sud;Puglia;LE;B690;CAPRARICA DI LECCE;NonCap;S
Sud;Puglia;BA;B716;CAPURSO;NonCap;S
Sud;Puglia;FG;B724;CARAPELLE;NonCap;S
Sud;Puglia;FG;B784;CARLANTINO;NonCap;S
Sud;Puglia;LE;B792;CARMIANO;NonCap;S
Sud;Puglia;TA;B808;CAROSINO;NonCap;S
Sud;Puglia;BR;B809;CAROVIGNO;NonCap;S
