Area;Regione;Provincia;2024_CodCom;NTN_2024_Uffici;NTN_2024_Negozi_Lab;NTN_2024_Depositi_Comm_Autorimesse;NTN_2024_TCO_B04;NTN_2024_TCO_D02;NTN_2024_TCO_D05;NTN_2024_TCO_D08;NTN_2024_PRO;NTN_2024_AGR
Sud;Puglia;FG;A015;1;4;3,34;0;0;0;0;0;0
Sud;Puglia;BA;A048;3;12;57,92;0;0;0;0;2,04;0
Sud;Puglia;BA;A055;4;8;30,17;0;0;0;0;0,1;0
Sud;Puglia;BA;A149;1;9;12,67;0;0;0;1;0;0
Sud;Puglia;FG;A150;0;0;3,5;0;0;0;0;0;1
Sud;Puglia;LE;A184;1;11,5;7;0;0;0;0;6;0
Sud;Puglia;LE;A185;0;2,29;19,82;0;0;0;0;0;0
Sud;Puglia;LE;A208;0;1;8,08;0;0;0;0;0;0
Sud;Puglia;BA;A225;28;66,89;145,72;0;0;0;2;14;6
Sud;Puglia;LE;A281;0;2;5;0;0;0;0;0;0
Sud;Puglia;BA;A285;5,05;37,74;125,17;0;0;0;2;9,04;0
Sud;Puglia;FG;A320;0;3;2;0;0;0;0;0;0
Sud;Puglia;FG;A339;1;6,67;29,68;0;0;0;2;4;5,2
Sud;Puglia;LE;A350;0;4;9;0;0;0;0;0;0
Sud;Puglia;LE;A425;0;1;3;0;0;0;0;0;0
Sud;Puglia;FG;A463;0;1;9,17;0;0;0;1;2;0
Sud;Puglia;TA;A514;0;1;3;0;0;0;0;0;0
Sud;Puglia;LE;A572;0;2;0;0;0;0;0;0;0
Sud;Puglia;BA;A662;161,59;330,61;253,79;0;1;0;32;57;1
Sud;Puglia;BA;A669;9;57,74;81,88;0;1;0;6;21;0
Sud;Puglia;FG;A854;0;5;11;0;0;0;1;0;0
Sud;Puglia;BA;A874;0;0;4;0;0;0;0;0;0
Sud;Puglia;BA;A883;9,5;42,63;78,39;0;1;0;6;18,05;1
Sud;Puglia;BA;A892;0;3;19,63;0;0;0;0;0;0
Sud;Puglia;BA;A893;6;32,33;85,5;0;0;0;6,5;5;0
Sud;Puglia;BA;A894;6;4;16,89;0;0;0;0;4;1
Sud;Puglia;LE;B086;1;2;2;0;0;0;0;0;0
Sud;Puglia;FG;B104;0;0;8;0;0;0;1;0;0
Sud;Puglia;BR;B180;16,8;63,24;40,24;0;1;0;13;19;1
Sud;Puglia;FG;B357;0;3,5;19,56;0;0;0;0;0;0
Sud;Puglia;LE;B413;1;6;10,5;0;0;0;0;0;0
Sud;Puglia;LE;B506;0;10;8,18;0;0;0;0;0;0
Sud;Puglia;FG;B584;0;1;11;0;0;0;0;0;0
Sud;Puglia;LE;B616;0;1,75;4,75;0;0;0;0;0;0
Sud;Puglia;BA;B619;0;19;61,21;0;0;0;2;1;1
Sud;Puglia;LE;B690;0;0;2;0;0;0;0;0;0
Sud;Puglia;BA;B716;2;4;12,1;0;0;0;2;6;0
Sud;Puglia;FG;B724;0;1;7;0;0;0;0;0;0
Sud;Puglia;FG;B784;0;0;2;0;0;0;0;0;0
Sud;Puglia;LE;B792;1;4,5;18,8;0;0;0;0;0;0
Sud;Puglia;TA;B808;0;4;4,79;0;0;0;0;0;0
Sud;Puglia;BR;B809;0;14,15;52,53;0;0;0;0;2;1
Sud;Puglia;LE;B822;0;4;5,67;0;0;0;0;0;0
Sud;Puglia;FG;B829;0;0;11,16;0;0;0;0;0;0
Sud;Puglia;FG;B904;1;2;9;0;0;0;0;0;3
Sud;Puglia;FG;B915;2;8,5;14,49;0;0;0;0;2;0
Sud;Puglia;FG;B917;0;0;1;0;0;0;0;1;0
Sud;Puglia;BA;B923;2;5;25,84;0;0;0;16;1,97;1
