Area;Regione;Provincia;2024_CodCom;NTN_2024_Depositi_Pert;NTN_2024_Box
Sud;Puglia;FG;A015;6,5;15,55
Sud;Puglia;BA;A048;45,5;131,09
Sud;Puglia;BA;A055;25;91,5
Sud;Puglia;BA;A149;14;27
Sud;Puglia;FG;A150;1;1
Sud;Puglia;LE;A184;12;2,5
Sud;Puglia;LE;A185;2,25;22,08
Sud;Puglia;LE;A208;3;9,75
Sud;Puglia;BA;A225;219,65;611,91
Sud;Puglia;LE;A281;5;3
Sud;Puglia;BA;A285;183,25;496,66
Sud;Puglia;FG;A320;0;5,88
Sud;Puglia;FG;A339;8,24;36,5
Sud;Puglia;LE;A350;2;6
Sud;Puglia;LE;A425;4;10
Sud;Puglia;FG;A463;5;15,33
Sud;Puglia;TA;A514;3;4,05
Sud;Puglia;LE;A572;2;1
Sud;Puglia;BA;A662;1229,42;3803,86
Sud;Puglia;BA;A669;113,82;422,02
Sud;Puglia;FG;A854;3;2
Sud;Puglia;BA;A874;4;10,83
Sud;Puglia;BA;A883;210,52;265,95
Sud;Puglia;BA;A892;24;78,33
Sud;Puglia;BA;A893;130,87;333,35
Sud;Puglia;BA;A894;31,55;118,72
Sud;Puglia;LE;B086;3;3
Sud;Puglia;FG;B104;4;3
Sud;Puglia;BR;B180;110,64;425,88
Sud;Puglia;FG;B357;13;15,75
Sud;Puglia;LE;B413;2;21,11
Sud;Puglia;LE;B506;12,16;24,92
Sud;Puglia;FG;B584;4;1
Sud;Puglia;LE;B616;2;3
Sud;Puglia;BA;B619;43,17;109,46
Sud;Puglia;LE;B690;0;1
Sud;Puglia;BA;B716;29,5;180,41
Sud;Puglia;FG;B724;5;27,08
Sud;Puglia;FG;B784;0;2
Sud;Puglia;LE;B792;2;20,67
Sud;Puglia;TA;B808;1;13,67
Sud;Puglia;BR;B809;50,23;62,8
Sud;Puglia;LE;B822;0,5;4
Sud;Puglia;FG;B829;2,67;6
Sud;Puglia;FG;B904;1;5
Sud;Puglia;FG;B915;12,87;38,65
Sud;Puglia;FG;B917;0;2
Sud;Puglia;BA;B923;47,23;143,78
Sud;Puglia;LE;B936;11,67;50,88
Sud;Puglia;BA;B998;17,96;61,5
Sud;Puglia;BA;C134;45,6;93,56
Sud;Puglia;TA;C136;32,5;133
Sud;Puglia;FG;C198;4;3
Sud;Puglia;FG;C202;2;3
Sud;Puglia;FG;C222;1;2
Sud;Puglia;LE;C334;1;1
Sud;Puglia;LE;C335;1;4,78
Sud;Puglia;LE;C336;8,76;14,67
Sud;Puglia;LE;C377;7,5;70
Sud;Puglia;BR;C424;48,29;66,65
Sud;Puglia;FG;C429;4;4
Sud;Puglia;BA;C436;8;26,17
Sud;Puglia;FG;C442;2;0
Sud;Puglia;BR;C448;3;13,14
Sud;Puglia;FG;C514;62,66;172,72
Sud;Puglia;FG;C633;2;2
Sud;Puglia;BR;C741;25,58;51,25
Sud;Puglia;LE;C865;0;7
Sud;Puglia;BA;C975;65,8;234,94
Sud;Puglia;LE;C978;9;31,79
Sud;Puglia;BA;C983;129,29;139,45
Sud;Puglia;LE;D006;11,75;12
Sud;Puglia;LE;D044;4;2
Sud;Puglia;TA;D171;19;25,25
Sud;Puglia;LE;D223;2,66;5
Sud;Puglia;LE;D237;9,77;9
Sud;Puglia;FG;D269;8;4
Sud;Puglia;LE;D305;3;12
