Area;Regione;Provincia;2024_CodCom;NTN 2024 fino a 50 mq;NTN 2024 50 -| 85 mq;NTN 2024 85 -| 115 mq;NTN 2024 115 -| 145 mq;NTN 2024 oltre 145 mq;NTN_2024
Sud;Puglia;FG;A015;9,67;8,47;14,92;1;2;36,06
Sud;Puglia;BA;A048;29;40,89;53,14;67,59;40,17;230,79
Sud;Puglia;BA;A055;12,66;31,5;59,72;31,61;34,84;170,33
Sud;Puglia;BA;A149;8,5;12;20,79;13;12;66,29
Sud;Puglia;FG;A150;4;4,75;3;3;2;16,75
Sud;Puglia;LE;A184;3,33;11,5;11,16;7,5;9;42,49
Sud;Puglia;LE;A185;3;14,08;17;12;20,99;67,07
Sud;Puglia;LE;A208;8;28;10,58;9,08;14;69,66
Sud;Puglia;BA;A225;59,96;253,24;310,77;166,22;93,73;883,92
Sud;Puglia;LE;A281;1;15,5;7;1;12,67;37,17
Sud;Puglia;BA;A285;81,05;215,14;271,06;181,37;113,79;862,41
Sud;Puglia;FG;A320;0;3,88;3;3;2;11,88
Sud;Puglia;FG;A339;12;16,25;35,5;15,5;25,07;104,32
Sud;Puglia;LE;A350;10,5;24,5;10,5;7,38;4,33;57,21
Sud;Puglia;LE;A425;0;5;6;6;14;31
Sud;Puglia;FG;A463;5,75;13,57;20,67;8;6,91;54,9
Sud;Puglia;TA;A514;1;10,67;7,05;6;14;38,72
Sud;Puglia;LE;A572;2;4;0;2;1,75;9,75
Sud;Puglia;BA;A662;708,07;1787,8;1600,84;900,41;459,44;5456,56
Sud;Puglia;BA;A669;146,9;265,27;255,55;111,54;69,53;848,79
Sud;Puglia;FG;A854;5;6;7,17;2;3;23,17
Sud;Puglia;BA;A874;7;0;4;7,33;3;21,33
Sud;Puglia;BA;A883;74,89;192,35;193,44;103,65;41,5;605,83
Sud;Puglia;BA;A892;9,66;34;48,5;23,66;15;130,82
Sud;Puglia;BA;A893;54,27;150,02;236,2;123,12;59,63;623,24
Sud;Puglia;BA;A894;16;37;58,5;34,72;16,64;162,86
Sud;Puglia;LE;B086;0;0,8;1;4,5;4,5;10,8
Sud;Puglia;FG;B104;6,75;11,5;5,33;3;2;28,58
Sud;Puglia;BR;B180;29,6;189,16;294,61;218,4;136,03;867,8
Sud;Puglia;FG;B357;6,5;19,89;15,5;7,2;4;53,09
Sud;Puglia;LE;B413;3;6,5;8;13;19,67;50,17
Sud;Puglia;LE;B506;3;11,55;18,67;12,38;16,84;62,44
Sud;Puglia;FG;B584;4,75;5;3;5;3;20,75
Sud;Puglia;LE;B616;2,75;3,5;2,33;1,8;3,5;13,88
Sud;Puglia;BA;B619;60,65;75,85;51,55;57,85;41,33;287,23
Sud;Puglia;LE;B690;0;8;5;3;3;19
Sud;Puglia;BA;B716;7,67;69,75;82,31;32,24;21;212,97
Sud;Puglia;FG;B724;3,86;13,44;14,5;13;2;46,8
Sud;Puglia;FG;B784;2;2,94;0;3;1;8,94
Sud;Puglia;LE;B792;1;11,25;19,6;20;31,17;83,02
Sud;Puglia;TA;B808;0,33;6,49;8,67;12;10,67;38,16
Sud;Puglia;BR;B809;43,3;84,5;69,42;31,17;42,73;271,12
Sud;Puglia;LE;B822;2;4,5;3;2;3,67;15,17
Sud;Puglia;FG;B829;3;8,67;3;3;4,5;22,17
Sud;Puglia;FG;B904;3;3;3,75;6;5;20,75
Sud;Puglia;FG;B915;7,83;33,71;23;23,99;17,33;105,86
Sud;Puglia;FG;B917;4;3;0;0,78;3;10,78
Sud;Puglia;BA;B923;21,5;61,5;91,38;37,5;45,17;257,05
Sud;Puglia;LE;B936;11,73;33,75;32,01;32,15;38,17;147,81
